Date : 2021-11-14 16:23:32
Directory : d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard
Total : 89 files,  3483 codes, 304 comments, 489 blanks, all 4276 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         55 |      2,542 |         70 |        281 |      2,893 |
| C++        |         11 |        405 |         80 |        132 |        617 |
| JSON       |          3 |        180 |          0 |          3 |        183 |
| XML        |          9 |        126 |         52 |         13 |        191 |
| Groovy     |          3 |         86 |          3 |         22 |        111 |
| HTML       |          1 |         79 |         17 |          6 |        102 |
| YAML       |          2 |         32 |         81 |         19 |        132 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |         89 |      3,483 |        304 |        489 |      4,276 |
| android                                                                                                                     |         12 |        159 |         54 |         35 |        248 |
| android\app                                                                                                                 |          8 |        118 |         53 |         24 |        195 |
| android\app\src                                                                                                             |          7 |         65 |         50 |         11 |        126 |
| android\app\src\debug                                                                                                       |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                        |          5 |         57 |         44 |          9 |        110 |
| android\app\src\main\res                                                                                                    |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                       |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                             |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                     |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                              |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                      |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                  |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                  |          3 |        148 |          0 |          4 |        152 |
